player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0026143,M.Ryan,ATL,2021,3,REG,27,36,243,2,0,3,16,1,1,148,173,12,5.152402266510762,0,1.6418918918918919,0.1427502652517017,1,-1,0,0,0,0,0.025718523274904648,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,15.619999999999997,15.619999999999997
00-0026143,M.Ryan,ATL,2021,4,REG,25,42,283,4,0,1,8,0,0,440,89,15,13.22073061528095,0,0.6431818181818182,0.18570941025238039,1,17,0,0,0,1,0.5272185018402524,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,29.02,29.02
00-0026143,M.Ryan,ATL,2021,5,REG,33,45,342,2,0,0,-0,0,0,336,107,19,19.64344887939898,0,1.0178571428571428,0.23842296763467388,1,-1,0,0,0,0,-1.131045690359315,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,21.58,21.58
00-0026143,M.Ryan,ATL,2021,7,REG,25,40,336,2,1,1,11,0,0,368,80,15,11.177175974154776,0,0.9130434782608695,0.09519516364614596,3,0,0,1,1,0,-4.0635235930094495,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,17.439999999999998,17.439999999999998
00-0026143,M.Ryan,ATL,2021,8,REG,20,27,146,1,2,3,15,0,0,194,70,11,-8.301217018251043,0,0.7525773195876289,0.06035990713480398,2,3,0,1,0,0,-1.6109539310564287,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,6.14,6.14
00-0026189,D.Jackson,LA,2021,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,2,21,0,0,0,16,5,1,1.4131451757857576,0,1.3125,0.07692307692307693,0.07017543859649122,0.16450742240215924,0,2.1,4.1
00-0026189,D.Jackson,LA,2021,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,5,120,1,0,0,136,64,2,7.871744584583212,0,0.8823529411764706,0.13157894736842105,0.3788300835654596,0.46254947954845327,0,18,21
00-0026189,D.Jackson,LA,2021,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,3,6,0,0,0,64,6,0,-3.6756900986656547,0,0.09375,0.07317073170731707,0.1807909604519774,0.23630976987735977,0,0.6000000000000001,1.6
00-0026189,D.Jackson,LA,2021,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,3,68,0,0,0,86,28,1,3.6971541011007503,0,0.7906976744186046,0.08571428571428572,0.19369369369369369,0.2641570141570141,0,6.800000000000001,7.800000000000001
00-0026189,D.Jackson,LA,2021,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,6,0,0,0,5,1,0,0.40665279142558575,0,1.2,0.03333333333333333,0.0211864406779661,0.06483050847457628,0,0.6000000000000001,1.6
